date,"Unrate, 16–19","Unrate, 20–24","Unrate, 25–34","Unrate, 35–44","Unrate, 45–54","Unrate, 55+","Unrate, 25+","Unrate, White","Unrate, Black","Unrate, Hispanic","Unrate, Asian","Unrate, less than HS","Unrate, HS only","Unrate, some college","Unrate, BA+","Unrate, native-born (NSA)","Unrate, foreign-born (NSA)"
2000-01-01,12.7,7.5,3.6,3.0,2.6,2.7,3.0,3.4,8.2,5.6,,6.4,3.4,2.6,1.8,,
2000-02-01,13.8,7.6,3.6,3.1,2.4,2.8,3.0,3.6,8.1,5.7,,6.0,3.4,3.0,1.6,,
2000-03-01,13.3,7.4,3.7,3.2,2.2,2.7,3.0,3.5,7.4,6.1,,6.6,3.3,2.8,1.7,,
2000-04-01,12.6,7.2,3.5,3.0,2.1,2.3,2.9,3.4,7.0,5.5,,6.2,3.3,2.6,1.5,,
2000-05-01,12.8,8.0,3.8,3.0,2.4,2.5,3.0,3.5,7.7,5.8,,6.9,3.4,2.6,1.6,,
2000-06-01,12.3,7.5,3.6,3.1,2.5,2.3,3.0,3.4,7.8,5.6,,6.3,3.4,2.7,1.6,,
2000-07-01,13.4,7.0,3.9,3.1,2.5,2.5,3.0,3.5,7.7,5.8,,6.4,3.4,2.8,1.7,,
2000-08-01,14.0,6.6,3.8,3.1,2.7,2.7,3.1,3.6,7.9,5.9,,6.2,3.7,2.8,1.9,,
2000-09-01,13.0,6.5,3.7,2.9,2.6,2.7,3.0,3.5,7.3,5.8,,6.2,3.5,2.6,1.9,,
2000-10-01,12.8,6.7,3.7,2.8,2.5,2.7,2.9,3.4,7.3,5.1,,6.4,3.6,2.4,1.6,,
2000-11-01,13.0,6.8,3.7,2.9,2.4,2.8,3.0,3.5,7.3,6.0,,6.5,3.5,2.6,1.5,,
2000-12-01,13.2,7.0,3.7,2.9,2.5,2.4,2.9,3.5,7.4,5.7,,5.9,3.5,2.7,1.5,,
2001-01-01,13.8,7.3,4.1,3.1,2.7,2.7,3.2,3.6,8.2,5.8,,6.7,3.8,3.0,1.6,,
2001-02-01,13.7,7.4,4.0,3.1,2.8,2.8,3.2,3.7,7.7,6.1,,7.5,3.7,2.8,1.6,,
2001-03-01,13.8,7.6,4.1,3.2,2.8,2.7,3.2,3.7,8.3,6.2,,6.8,3.8,2.7,2.0,,
2001-04-01,13.9,8.1,4.3,3.1,2.9,2.7,3.3,3.9,8.0,6.4,,6.8,3.7,2.9,2.1,,
2001-05-01,13.4,8.1,4.3,3.4,2.8,2.6,3.3,3.8,7.9,6.3,,6.6,3.9,3.0,2.1,,
2001-06-01,14.2,8.2,4.5,3.5,2.8,2.7,3.5,4.0,8.3,6.6,,6.9,3.8,3.0,2.2,,
2001-07-01,14.4,7.9,4.3,3.7,3.0,2.9,3.5,4.0,8.0,6.2,,6.8,4.1,3.0,2.2,,
2001-08-01,15.6,8.9,4.8,3.7,3.3,3.0,3.8,4.3,9.1,6.5,,7.2,4.4,3.3,2.3,,
2001-09-01,15.2,8.4,4.8,4.0,3.2,3.3,3.9,4.3,8.9,6.7,,7.7,4.4,3.4,2.5,,
2001-10-01,16.0,9.1,5.2,4.2,3.7,3.5,4.2,4.7,9.5,7.1,,7.6,4.7,4.1,2.6,,
2001-11-01,15.9,9.3,5.7,4.5,3.6,3.5,4.4,4.9,9.8,7.3,,8.0,5.0,4.2,2.9,,
2001-12-01,17.0,9.7,5.9,4.4,3.7,3.9,4.5,5.1,10.1,7.7,,8.3,4.9,4.2,3.0,,
2002-01-01,16.5,9.8,5.8,4.6,3.8,3.6,4.5,5.1,10.0,7.8,,8.2,5.3,4.3,2.9,,
