date,Total nonfarm,Total nonfarm (YoY %),Total private,Goods-producing,Construction,Manufacturing,Motor vehicles & parts,Private service-providing,Retail trade,Professional & business services,Education & health services,Health care & social assistance,Leisure & hospitality,Government,Mining & logging,Wholesale trade,Transportation & warehousing,Utilities,Information,Financial activities,Other services,Durable goods manufacturing,Nondurable goods manufacturing,Temporary help services
2000-01-01,228.0,131011.0,197.0,48.0,43.0,5.0,8.6,149.0,13.4,76.0,20.0,19.3,7.0,31.0,0.0,3.4,8.5,-0.8,20.0,-6.0,8.0,15.0,-10.0,16.5
2000-02-01,109.0,131120.0,81.0,-21.0,-22.0,0.0,1.6,102.0,8.9,37.0,14.0,14.1,6.0,28.0,1.0,1.6,9.1,-1.2,18.0,2.0,7.0,4.0,-4.0,2.7
2000-03-01,484.0,131604.0,350.0,98.0,81.0,18.0,-2.5,252.0,33.9,74.0,27.0,17.2,69.0,134.0,-1.0,16.0,8.5,-1.6,21.0,-4.0,8.0,21.0,-3.0,22.7
2000-04-01,280.0,131884.0,211.0,-17.0,-17.0,-3.0,-2.7,228.0,73.9,83.0,20.0,10.6,46.0,69.0,3.0,-12.2,5.2,-0.8,18.0,-3.0,-2.0,-3.0,0.0,36.1
2000-05-01,221.0,132105.0,-124.0,-43.0,-24.0,-21.0,1.4,-81.0,-48.9,-35.0,28.0,19.1,-7.0,345.0,2.0,-11.0,-5.2,-1.6,6.0,-2.0,-5.0,4.0,-25.0,-32.4
2000-06-01,-42.0,132063.0,218.0,24.0,8.0,17.0,7.7,194.0,10.2,69.0,29.0,16.5,42.0,-260.0,-1.0,3.0,10.5,-1.0,27.0,2.0,3.0,36.0,-19.0,0.3
2000-07-01,165.0,132228.0,185.0,47.0,16.0,27.0,-19.5,138.0,14.0,45.0,28.0,20.6,31.0,-20.0,4.0,-14.8,10.7,-0.2,16.0,2.0,6.0,22.0,5.0,-4.9
2000-08-01,6.0,132234.0,36.0,-34.0,2.0,-35.0,-8.1,70.0,22.5,32.0,40.0,23.7,27.0,-30.0,-1.0,-11.0,17.5,0.1,-74.0,11.0,5.0,-17.0,-18.0,-9.0
2000-09-01,103.0,132337.0,205.0,-42.0,11.0,-58.0,-10.1,247.0,23.7,62.0,50.0,54.5,13.0,-102.0,5.0,-15.2,-11.4,-1.4,92.0,20.0,14.0,-39.0,-19.0,4.5
2000-10-01,15.0,132352.0,7.0,-3.0,7.0,-12.0,0.8,10.0,4.9,13.0,25.0,31.2,-64.0,8.0,2.0,-0.2,11.5,2.0,0.0,12.0,6.0,1.0,-13.0,-9.9
2000-11-01,204.0,132556.0,187.0,-14.0,3.0,-15.0,-4.7,201.0,7.5,41.0,48.0,30.9,70.0,17.0,-2.0,-5.2,15.2,-0.6,9.0,14.0,2.0,5.0,-20.0,4.3
2000-12-01,160.0,132716.0,116.0,-50.0,-25.0,-21.0,-5.3,166.0,46.7,-16.0,56.0,37.4,30.0,44.0,-4.0,-22.3,27.6,1.2,22.0,15.0,6.0,-17.0,-4.0,-47.2
2001-01-01,-13.0,132703.0,-44.0,-39.0,32.0,-76.0,-36.7,-5.0,-26.4,5.0,54.0,45.0,1.0,31.0,5.0,-21.3,-34.3,-1.0,4.0,7.0,7.0,-58.0,-18.0,-20.8
2001-02-01,85.0,132788.0,14.0,-57.0,17.0,-75.0,7.1,71.0,17.9,-24.0,54.0,44.8,20.0,71.0,1.0,-18.0,-3.5,0.1,5.0,23.0,-4.0,-40.0,-35.0,-32.7
2001-03-01,-37.0,132751.0,-76.0,-68.0,21.0,-92.0,-13.5,-8.0,-24.4,-50.0,56.0,38.5,3.0,39.0,3.0,-19.4,6.0,-0.3,2.0,17.0,2.0,-72.0,-20.0,-48.4
2001-04-01,-293.0,132458.0,-340.0,-155.0,-18.0,-136.0,-8.2,-185.0,-95.7,-126.0,43.0,35.5,40.0,47.0,-1.0,-16.7,-19.0,-0.6,-32.0,4.0,18.0,-98.0,-38.0,-83.2
