date,Civilian employment,Labor force,Unemployment rate,"Unemployment rate, 25+",U-5 unemployment rate,U-6 unemployment rate,Labor force participation rate,Employment-to-population ratio,Total unemployment,Part-time for economic reasons,Part-time for non-economic reasons,Job losers on temporary layoff,Permanent job losers,Not at work due to bad weather,Not at work — other,"LFPR, prime age (25–54)","LFPR, prime age men (25–54)","LFPR, prime age women (25–54)","EPOP, prime age (25–54)",Job losers (total),Job leavers,New entrants,Reentrants
2000-01-01,136559.0,142267.0,4.0,3.0,4.8,7.0,67.3,64.6,5708.0,3208.0,18961.0,753.0,1165.0,236.0,1207.0,84.4,92.1,77.0,81.8,2527.0,771.0,394.0,2046.0
2000-02-01,136598.0,142456.0,4.1,3.0,4.9,7.1,67.3,64.6,5858.0,3167.0,19060.0,849.0,1171.0,267.0,1281.0,84.4,92.2,76.9,81.8,2655.0,767.0,420.0,1991.0
2000-03-01,136701.0,142434.0,4.0,3.0,4.8,7.1,67.3,64.6,5733.0,3231.0,18939.0,816.0,1155.0,258.0,1219.0,84.3,91.9,77.1,81.7,2521.0,818.0,429.0,1982.0
2000-04-01,137270.0,142751.0,3.8,2.9,4.7,6.9,67.3,64.7,5481.0,3186.0,18712.0,707.0,1083.0,331.0,1216.0,84.4,91.7,77.3,81.9,2298.0,826.0,406.0,1919.0
2000-05-01,136630.0,142388.0,4.0,3.0,4.8,7.1,67.1,64.4,5758.0,3283.0,18626.0,868.0,1076.0,280.0,1113.0,84.1,91.5,77.0,81.5,2460.0,784.0,466.0,2050.0
2000-06-01,136940.0,142591.0,4.0,3.0,4.7,7.0,67.1,64.5,5651.0,3209.0,18420.0,976.0,1074.0,309.0,1142.0,84.1,91.7,76.8,81.5,2442.0,689.0,427.0,2046.0
2000-07-01,136531.0,142278.0,4.0,3.0,4.8,7.0,66.9,64.2,5747.0,3144.0,18547.0,863.0,1117.0,266.0,1172.0,83.9,91.5,76.6,81.3,2477.0,816.0,433.0,1986.0
2000-08-01,136662.0,142514.0,4.1,3.1,4.8,7.1,66.9,64.2,5853.0,3211.0,18545.0,921.0,1200.0,203.0,1097.0,83.8,91.5,76.3,81.1,2641.0,779.0,499.0,1953.0
2000-09-01,136893.0,142518.0,3.9,3.0,4.7,7.0,66.9,64.2,5625.0,3217.0,18606.0,861.0,1149.0,253.0,1166.0,83.7,91.3,76.4,81.1,2524.0,789.0,415.0,1812.0
2000-10-01,137088.0,142622.0,3.9,2.9,4.6,6.8,66.8,64.2,5534.0,3179.0,18895.0,822.0,1131.0,232.0,1044.0,83.6,91.2,76.3,81.1,2462.0,817.0,402.0,1880.0
