date,Job openings — total (level),Job openings — total (rate),Hires — total (level),Hires — total (rate),Separations — total (level),Separations — total (rate),Quits — total (level),Quits — total (rate),Layoffs & discharges — total (level),Layoffs & discharges — total (rate),Job openings — construction,Job openings — manufacturing,Job openings — retail trade,Job openings — professional & business,Job openings — education & health,Job openings — health care & social,Job openings — leisure & hospitality,"Job openings — arts, entertainment, recreation",Job openings — accommodation & food,Job openings — government,Job openings — state & local government,Quits rate — total private,Quits rate — construction,Quits rate — manufacturing,Quits rate — retail trade,Quits rate — information,Quits rate — financial activities,Quits rate — professional & business,Quits rate — private education & health,Quits rate — health care & social,Quits rate — leisure & hospitality,Quits rate — accommodation & food,Quits rate — government
2000-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-01,5088.0,3.7,5426.0,4.1,5240.0,3.9,2882.0,2.2,2018.0,1.5,233.0,425.0,502.0,871.0,919.0,864.0,566.0,42.0,525.0,548.0,481.0,2.4,1.6,1.9,3.3,1.6,2.3,2.8,2.0,2.2,4.8,5.2,0.7
2001-01-01,5234.0,3.8,5722.0,4.3,5842.0,4.4,3245.0,2.4,2220.0,1.7,241.0,445.0,533.0,888.0,842.0,801.0,654.0,57.0,597.0,482.0,413.0,2.8,2.4,1.7,3.4,2.7,2.1,3.4,1.9,2.1,5.6,6.3,0.8
2001-02-01,5097.0,3.7,5303.0,4.0,5231.0,3.9,3053.0,2.3,1855.0,1.4,253.0,420.0,586.0,1032.0,808.0,751.0,601.0,43.0,558.0,479.0,416.0,2.6,2.6,1.5,3.6,1.8,1.9,2.6,2.1,2.3,4.6,5.0,0.8
2001-03-01,4762.0,3.5,5528.0,4.2,5566.0,4.2,3054.0,2.3,2133.0,1.6,188.0,436.0,431.0,901.0,818.0,761.0,695.0,126.0,568.0,445.0,388.0,2.6,2.9,1.4,3.4,1.8,2.0,3.0,2.1,2.3,4.7,5.0,0.8
2001-04-01,4615.0,3.4,5204.0,3.9,5414.0,4.1,3163.0,2.4,1883.0,1.4,226.0,354.0,502.0,834.0,708.0,645.0,582.0,49.0,533.0,490.0,425.0,2.7,2.9,1.4,3.8,2.7,1.6,3.4,2.0,2.2,5.0,5.3,0.6
2001-05-01,4425.0,3.2,5410.0,4.1,5390.0,4.1,2993.0,2.3,2029.0,1.5,224.0,327.0,487.0,750.0,812.0,740.0,527.0,57.0,470.0,486.0,417.0,2.5,2.6,1.2,3.5,2.2,1.3,3.1,1.9,2.1,4.8,5.0,0.9
2001-06-01,4361.0,3.2,5109.0,3.9,5249.0,4.0,2878.0,2.2,2015.0,1.5,174.0,324.0,462.0,768.0,765.0,716.0,447.0,63.0,384.0,531.0,468.0,2.5,2.5,1.2,3.5,2.0,1.6,3.0,1.9,2.0,4.6,4.8,0.6
