date,"AHE P&NS, total private","AHE P&NS, goods-producing","AHE P&NS, construction","AHE P&NS, manufacturing","AHE P&NS, durable goods","AHE P&NS, information","AHE P&NS, financial activities","AHE P&NS, education & health","AHE P&NS, leisure & hospitality"
2000-01-01,13.74,15.01,17.11,14.12,14.75,18.63,14.8,13.63,8.11
2000-02-01,13.8,15.06,17.2,14.14,14.75,18.77,14.81,13.67,8.18
2000-03-01,13.85,15.1,17.28,14.17,14.78,18.94,14.89,13.71,8.22
2000-04-01,13.89,15.17,17.39,14.23,14.84,18.89,14.93,13.77,8.26
2000-05-01,13.93,15.17,17.38,14.22,14.82,19.03,14.97,13.83,8.28
2000-06-01,13.98,15.22,17.39,14.3,14.89,19.02,15.04,13.88,8.31
2000-07-01,14.02,15.27,17.48,14.33,14.93,19.11,15.04,13.95,8.34
2000-08-01,14.07,15.32,17.55,14.36,14.96,19.11,15.09,13.98,8.36
2000-09-01,14.13,15.37,17.62,14.4,15.01,19.16,15.17,14.03,8.41
2000-10-01,14.17,15.45,17.67,14.48,15.09,19.22,15.19,14.08,8.44
2000-11-01,14.23,15.5,17.78,14.52,15.13,19.42,15.23,14.15,8.47
2000-12-01,14.29,15.49,17.77,14.5,15.1,19.5,15.33,14.2,8.46
2001-01-01,14.29,15.51,17.86,14.48,15.05,19.55,15.37,14.26,8.45
2001-02-01,14.36,15.56,17.86,14.55,15.14,19.75,15.45,14.33,8.5
2001-03-01,14.42,15.62,17.93,14.59,15.18,19.67,15.53,14.39,8.53
2001-04-01,14.44,15.62,17.82,14.63,15.23,19.72,15.47,14.46,8.53
2001-05-01,14.5,15.7,17.92,14.69,15.31,19.76,15.59,14.52,8.55
2001-06-01,14.54,15.77,17.99,14.74,15.37,19.82,15.66,14.56,8.57
2001-07-01,14.55,15.82,17.97,14.82,15.47,19.78,15.69,14.63,8.57
2001-08-01,14.6,15.86,18.05,14.85,15.48,19.87,15.73,14.65,8.61
2001-09-01,14.62,15.89,18.02,14.89,15.51,19.84,15.74,14.7,8.61
2001-10-01,14.66,15.92,18.07,14.9,15.53,19.91,15.78,14.76,8.62
2001-11-01,14.72,16.0,18.14,14.96,15.62,19.98,15.86,14.83,8.63
2001-12-01,14.74,16.06,18.22,15.01,15.69,19.93,15.91,14.86,8.64
2002-01-01,14.76,16.1,18.26,15.05,15.73,19.94,15.89,14.85,8.68
2002-02-01,14.78,16.15,18.29,15.11,15.82,19.96,15.93,14.94,8.68
2002-03-01,14.82,16.18,18.36,15.15,15.88,20.0,15.96,14.98,8.71
2002-04-01,14.84,16.21,18.41,15.17,15.9,20.05,16.0,14.97,8.74
2002-05-01,14.88,16.25,18.41,15.24,15.97,20.08,16.07,15.06,8.77
2002-06-01,14.93,16.29,18.46,15.27,16.0,20.25,16.15,15.1,8.81
2002-07-01,14.97,16.34,18.57,15.3,16.02,20.13,16.27,15.15,8.84
2002-08-01,15.02,16.38,18.57,15.34,16.07,20.05,16.42,15.27,8.86
2002-09-01,15.05,16.43,18.64,15.37,16.1,20.31,16.48,15.3,8.86
2002-10-01,15.12,16.49,18.65,15.46,16.2,20.44,16.59,15.35,8.88
2002-11-01,15.15,16.52,18.69,15.49,16.25,20.52,16.61,15.38,8.91
2002-12-01,15.2,16.61,18.86,15.54,16.26,20.66,16.67,15.43,8.96
2003-01-01,15.21,16.62,18.77,15.58,16.31,20.69,16.79,15.48,8.94
2003-02-01,15.28,16.65,18.83,15.63,16.35,20.72,16.89,15.51,9.01
