date,Avg hourly earnings — total private,Avg hourly earnings — production & nonsupervisory,Avg weekly hours — total private,Avg weekly earnings — total private
2000-01-01,,13.74,,
2000-02-01,,13.8,,
2000-03-01,,13.85,,
2000-04-01,,13.89,,
2000-05-01,,13.93,,
2000-06-01,,13.98,,
2000-07-01,,14.02,,
2000-08-01,,14.07,,
2000-09-01,,14.13,,
2000-10-01,,14.17,,
2000-11-01,,14.23,,
2000-12-01,,14.29,,
2001-01-01,,14.29,,
2001-02-01,,14.36,,
2001-03-01,,14.42,,
2001-04-01,,14.44,,
2001-05-01,,14.5,,
2001-06-01,,14.54,,
2001-07-01,,14.55,,
2001-08-01,,14.6,,
2001-09-01,,14.62,,
2001-10-01,,14.66,,
2001-11-01,,14.72,,
2001-12-01,,14.74,,
2002-01-01,,14.76,,
2002-02-01,,14.78,,
2002-03-01,,14.82,,
2002-04-01,,14.84,,
2002-05-01,,14.88,,
2002-06-01,,14.93,,
2002-07-01,,14.97,,
2002-08-01,,15.02,,
2002-09-01,,15.05,,
2002-10-01,,15.12,,
2002-11-01,,15.15,,
2002-12-01,,15.2,,
2003-01-01,,15.21,,
2003-02-01,,15.28,,
2003-03-01,,15.27,,
2003-04-01,,15.28,,
2003-05-01,,15.33,,
2003-06-01,,15.36,,
2003-07-01,,15.4,,
2003-08-01,,15.42,,
2003-09-01,,15.42,,
2003-10-01,,15.42,,
2003-11-01,,15.46,,
2003-12-01,,15.47,,
2004-01-01,,15.51,,
2004-02-01,,15.53,,
2004-03-01,,15.56,,
2004-04-01,,15.59,,
2004-05-01,,15.63,,
2004-06-01,,15.67,,
2004-07-01,,15.69,,
2004-08-01,,15.73,,
2004-09-01,,15.78,,
2004-10-01,,15.81,,
2004-11-01,,15.84,,
2004-12-01,,15.86,,
2005-01-01,,15.9,,
2005-02-01,,15.93,,
2005-03-01,,15.97,,
2005-04-01,,16.01,,
2005-05-01,,16.04,,
2005-06-01,,16.08,,
2005-07-01,,16.15,,
2005-08-01,,16.17,,
2005-09-01,,16.19,,
2005-10-01,,16.28,,
2005-11-01,,16.3,,
2005-12-01,,16.36,,
2006-01-01,,16.42,,
2006-02-01,,16.48,,
2006-03-01,20.04,16.54,34.2,685.37
2006-04-01,20.17,16.63,34.3,691.83
2006-05-01,20.13,16.65,34.3,690.46
2006-06-01,20.22,16.72,34.4,695.57
2006-07-01,20.29,16.78,34.3,695.95
2006-08-01,20.32,16.82,34.3,696.98
2006-09-01,20.4,16.87,34.4,701.76
2006-10-01,20.42,16.93,34.3,700.41
2006-11-01,20.49,16.98,34.3,702.81
2006-12-01,20.58,17.05,34.5,710.01
2007-01-01,20.59,17.09,34.3,706.24
2007-02-01,20.68,17.16,34.3,709.32
2007-03-01,20.72,17.22,34.4,712.77
2007-04-01,20.79,17.27,34.4,715.18
2007-05-01,20.84,17.34,34.4,716.9
2007-06-01,20.95,17.41,34.5,722.78
2007-07-01,20.94,17.46,34.4,720.34
2007-08-01,21.0,17.5,34.4,722.4
2007-09-01,21.04,17.55,34.4,723.78
2007-10-01,21.06,17.58,34.3,722.36
2007-11-01,21.12,17.63,34.4,726.53
2007-12-01,21.16,17.68,34.4,727.9
2008-01-01,21.19,17.74,34.4,728.94
2008-02-01,21.27,17.8,34.4,731.69
2008-03-01,21.36,17.87,34.4,734.78
2008-04-01,21.38,17.92,34.4,735.47
2008-05-01,21.47,17.98,34.4,738.57
2008-06-01,21.52,18.04,34.3,738.14
2008-07-01,21.6,18.1,34.3,740.88
2008-08-01,21.7,18.18,34.3,744.31
2008-09-01,21.73,18.2,34.2,743.17
2008-10-01,21.76,18.25,34.3,746.37
2008-11-01,21.86,18.31,34.1,745.43
2008-12-01,21.95,18.39,33.9,744.11
2009-01-01,21.96,18.39,34.0,746.64
2009-02-01,21.98,18.44,34.0,747.32
2009-03-01,22.05,18.49,33.8,745.29
2009-04-01,22.1,18.52,33.8,746.98
2009-05-01,22.12,18.53,33.8,747.66
2009-06-01,22.14,18.56,33.7,746.12
2009-07-01,22.18,18.59,33.8,749.68
2009-08-01,22.23,18.67,33.8,751.37
2009-09-01,22.27,18.7,33.9,754.95
2009-10-01,22.31,18.74,33.8,754.08
2009-11-01,22.34,18.8,33.9,757.33
2009-12-01,22.37,18.84,33.9,758.34
2010-01-01,22.4,18.88,34.0,761.6
2010-02-01,22.46,18.91,33.8,759.15
2010-03-01,22.46,18.92,34.0,763.64
2010-04-01,22.49,18.96,34.1,766.91
2010-05-01,22.51,19.01,34.2,769.84
2010-06-01,22.53,19.03,34.1,768.27
2010-07-01,22.59,19.04,34.2,772.58
2010-08-01,22.62,19.11,34.2,773.6
2010-09-01,22.67,19.11,34.3,777.58
2010-10-01,22.73,19.21,34.3,779.64
2010-11-01,22.73,19.21,34.2,777.37
2010-12-01,22.76,19.23,34.3,780.67
2011-01-01,22.87,19.33,34.2,782.15
2011-02-01,22.87,19.31,34.3,784.44
2011-03-01,22.87,19.3,34.3,784.44
2011-04-01,22.91,19.36,34.4,788.1
2011-05-01,22.97,19.41,34.4,790.17
2011-06-01,23.0,19.41,34.3,788.9
2011-07-01,23.11,19.48,34.4,794.98
2011-08-01,23.06,19.47,34.3,790.96
2011-09-01,23.11,19.49,34.4,794.98
2011-10-01,23.18,19.56,34.5,799.71
2011-11-01,23.19,19.56,34.4,797.74
2011-12-01,23.22,19.57,34.4,798.77
2012-01-01,23.26,19.59,34.5,802.47
2012-02-01,23.28,19.58,34.5,803.16
2012-03-01,23.36,19.64,34.5,805.92
